ID_Vehiculo;Marca_Vehiculo;Modelo_Vehiculo;Tipo_Vehiculo;Año_Vehiculo
167;HYUNDAI;ELANTRA;AUTO;2020
168;HYUNDAI;GENESIS;AUTO;2019
169;HYUNDAI;GENESIS;AUTO;2024
170;HYUNDAI;GENESIS;AUTO;2022
171;HYUNDAI;GENESIS;AUTO;2020
172;HYUNDAI;GENESIS;AUTO;2021
173;HYUNDAI;GENESIS;AUTO;2023
174;HYUNDAI;SANTA FE;CAMIONETA;2024
175;HYUNDAI;SANTA FE;CAMIONETA;2021
176;HYUNDAI;SANTA FE;CAMIONETA;2023
177;HYUNDAI;SANTA FE;CAMIONETA;2020
178;HYUNDAI;SANTA FE;CAMIONETA;2019
179;HYUNDAI;SANTA FE;CAMIONETA;2022
