Factura;Fecha;ID_Canal;Cliente;Tipo_Cliente;ID_Vehiculo;Costo_Vehiculo;Precio_Venta;ID_SEDE;ID_Vendedor
36;03/01/2022 0:00;4;920;Persona;168;17500;22500;2;11
37;04/01/2022 0:00;4;725;Persona;145;17400;20900;4;2
38;04/01/2022 0:00;4;109;Persona;169;18000;20900;4;2
39;04/01/2022 0:00;4;59;Persona;68;17300;19300;4;2
40;04/01/2022 0:00;4;95;Persona;32;17800;21400;4;2
41;04/01/2022 0:00;2;645;Persona;156;17200;18200;2;8
42;04/01/2022 0:00;2;269;Persona;54;17800;21700;2;8
43;04/01/2022 0:00;2;552;Persona;45;17500;20500;2;8
44;04/01/2022 0:00;2;526;Persona;79;17700;20500;2;8
45;04/01/2022 0:00;2;996;Persona;83;17300;22000;2;11
46;04/01/2022 0:00;2;599;Persona;140;17300;20500;2;11
47;04/01/2022 0:00;2;705;Persona;107;17300;18300;2;11
48;04/01/2022 0:00;3;212;Persona;127;17900;20300;1;9
49;05/01/2022 0:00;3;605;Persona;1;16800;19300;1;9
50;05/01/2022 0:00;3;1103;Persona;134;18000;23300;1;9
51;05/01/2022 0:00;3;624;Persona;170;17400;19800;1;9
52;05/01/2022 0:00;1;786;Empresa;171;16800;20000;4;1
53;05/01/2022 0:00;1;852;Empresa;128;17500;20800;4;1
54;05/01/2022 0:00;1;205;Empresa;92;17500;18900;4;1
55;05/01/2022 0:00;1;850;Empresa;12;17400;22200;4;1
56;05/01/2022 0:00;2;128;Persona;18;17500;21700;4;3
57;05/01/2022 0:00;2;56;Persona;148;17000;20800;4;3
58;05/01/2022 0:00;2;534;Persona;169;18000;21800;4;3
59;05/01/2022 0:00;2;532;Persona;136;17600;21000;4;3
60;05/01/2022 0:00;3;955;Persona;75;17000;18800;4;7
61;05/01/2022 0:00;3;110;Persona;100;18100;19000;4;7
62;05/01/2022 0:00;3;77;Persona;39;17200;20400;4;7
63;05/01/2022 0:00;3;614;Persona;82;17700;20100;4;7
64;05/01/2022 0:00;2;719;Persona;72;17800;21000;4;1
65;06/01/2022 0:00;2;404;Persona;24;17200;19200;4;1
66;06/01/2022 0:00;2;1043;Persona;27;17400;22100;4;1
67;06/01/2022 0:00;2;171;Persona;163;17800;22400;4;1
68;06/01/2022 0:00;4;149;Persona;157;18100;19100;4;12
69;06/01/2022 0:00;4;632;Persona;172;17700;22700;4;12
70;06/01/2022 0:00;4;281;Persona;118;18000;23100;4;12
71;06/01/2022 0:00;4;516;Persona;89;17200;20100;4;12
72;06/01/2022 0:00;3;447;Persona;119;17300;20600;2;11
73;06/01/2022 0:00;3;480;Persona;31;16500;18400;2;11
74;06/01/2022 0:00;3;422;Persona;16;17800;21300;2;11
75;06/01/2022 0:00;3;846;Persona;14;16800;19500;2;11
76;06/01/2022 0:00;3;531;Persona;5;17200;22000;2;11
77;07/01/2022 0:00;3;820;Persona;135;17800;21000;2;11
78;07/01/2022 0:00;3;194;Persona;57;17700;22100;2;11
79;07/01/2022 0:00;3;872;Persona;103;18000;19000;2;11
80;07/01/2022 0:00;3;13;Persona;15;17200;19600;2;11
81;07/01/2022 0:00;3;513;Persona;66;18400;22400;2;11
82;07/01/2022 0:00;3;1003;Persona;139;17100;19600;2;11
83;07/01/2022 0:00;3;833;Persona;96;17200;19600;4;10
84;07/01/2022 0:00;3;816;Persona;151;17200;22000;4;10
85;07/01/2022 0:00;3;893;Persona;4;17700;23000;4;10
86;07/01/2022 0:00;3;536;Persona;20;17600;20400;4;10
87;07/01/2022 0:00;4;1060;Persona;157;18100;23100;4;7
88;07/01/2022 0:00;4;266;Persona;164;16800;20000;4;7
89;08/01/2022 0:00;4;1111;Persona;145;17400;21400;4;7
90;08/01/2022 0:00;4;897;Persona;149;17600;22300;4;7
91;08/01/2022 0:00;2;58;Empresa;160;16800;21800;4;5
92;08/01/2022 0:00;2;799;Empresa;73;17100;19900;4;5
93;08/01/2022 0:00;2;121;Empresa;169;18000;20400;4;5
94;08/01/2022 0:00;2;772;Empresa;146;17100;21100;4;5
95;08/01/2022 0:00;2;718;Persona;167;18200;21700;4;2
96;08/01/2022 0:00;2;422;Persona;75;17000;19300;4;2
97;08/01/2022 0:00;2;1159;Persona;114;17800;22600;4;2
98;08/01/2022 0:00;2;612;Persona;125;17300;22300;4;2
99;09/01/2022 0:00;2;10;Empresa;2;16800;19300;4;3
100;09/01/2022 0:00;2;122;Empresa;10;16300;19100;4;3
101;09/01/2022 0:00;2;1072;Empresa;119;17300;22100;4;3
102;09/01/2022 0:00;2;563;Empresa;156;17200;20400;4;3
103;09/01/2022 0:00;3;242;Persona;140;17300;21900;4;10
104;09/01/2022 0:00;3;1081;Persona;136;17600;19200;4;10
105;09/01/2022 0:00;3;482;Persona;69;17800;19700;4;10
106;09/01/2022 0:00;3;1027;Persona;152;16600;20500;4;10
107;09/01/2022 0:00;3;438;Persona;135;17800;20500;4;12
108;09/01/2022 0:00;3;103;Persona;89;17200;21000;4;12
109;09/01/2022 0:00;3;600;Persona;87;18000;19500;4;12
110;09/01/2022 0:00;3;196;Persona;29;17700;19200;4;12
111;09/01/2022 0:00;1;308;Persona;18;17500;18700;2;11
112;09/01/2022 0:00;1;327;Persona;57;17700;19000;2;11
113;09/01/2022 0:00;1;1090;Persona;72;17800;20600;2;11
114;09/01/2022 0:00;1;340;Persona;99;17500;22600;2;11
115;09/01/2022 0:00;1;221;Empresa;171;16800;20800;4;10
116;09/01/2022 0:00;1;775;Empresa;99;17500;21600;4;10
117;09/01/2022 0:00;1;771;Empresa;21;18000;22100;4;10
118;09/01/2022 0:00;1;1147;Empresa;93;16800;18000;4;10
119;09/01/2022 0:00;4;866;Persona;77;17300;21300;2;8
120;09/01/2022 0:00;4;836;Persona;159;17400;20900;2;8
121;09/01/2022 0:00;4;854;Persona;119;17300;19600;2;8
122;09/01/2022 0:00;4;852;Persona;91;18300;23400;2;8
123;09/01/2022 0:00;1;189;Persona;153;17200;19700;4;2
124;09/01/2022 0:00;1;1132;Persona;24;17200;20200;4;2
125;09/01/2022 0:00;1;966;Persona;129;17800;22100;4;2
126;09/01/2022 0:00;1;737;Persona;20;17600;18500;4;2
127;09/01/2022 0:00;2;698;Persona;99;17500;18900;2;11
128;09/01/2022 0:00;2;1066;Persona;176;17600;19200;2;11
129;09/01/2022 0:00;2;1011;Persona;42;17600;22400;2;11
130;09/01/2022 0:00;2;731;Persona;142;17200;18800;2;11
131;09/01/2022 0:00;4;195;Persona;147;17300;21300;2;11
132;09/01/2022 0:00;4;938;Persona;74;18100;22900;2;11
133;09/01/2022 0:00;4;360;Persona;37;17600;21300;2;11
134;09/01/2022 0:00;3;677;Persona;42;17600;20200;4;7
135;09/01/2022 0:00;3;361;Persona;11;17300;22000;4;7
136;09/01/2022 0:00;3;90;Persona;148;17000;19900;4;7
137;09/01/2022 0:00;3;631;Persona;167;18200;22300;4;7
138;09/01/2022 0:00;3;971;Persona;125;17300;22000;2;8
139;09/01/2022 0:00;3;731;Persona;6;17100;21300;2;8
140;09/01/2022 0:00;3;912;Persona;84;18500;23700;2;8
141;09/01/2022 0:00;3;898;Persona;16;17800;20600;2;8
142;09/01/2022 0:00;3;16;Persona;146;17100;19400;4;5
143;09/01/2022 0:00;3;294;Persona;27;17400;20400;4;5
144;09/01/2022 0:00;3;542;Persona;145;17400;20900;4;5
145;09/01/2022 0:00;3;534;Persona;153;17200;19700;4;5
146;10/01/2022 0:00;3;300;Persona;155;18000;20800;4;7
147;10/01/2022 0:00;3;1100;Persona;40;17000;21600;4;7
148;10/01/2022 0:00;3;181;Persona;4;17700;18600;4;7
149;10/01/2022 0:00;3;1072;Persona;36;17600;19700;1;4
150;11/01/2022 0:00;3;931;Persona;16;17800;20600;1;4
151;11/01/2022 0:00;3;107;Persona;159;17400;18700;1;4
152;11/01/2022 0:00;3;138;Persona;158;17400;20000;2;11
153;11/01/2022 0:00;3;813;Persona;117;16800;21300;2;11
154;11/01/2022 0:00;3;955;Persona;125;17300;21600;2;11
155;11/01/2022 0:00;3;867;Persona;137;17800;21600;2;11
156;11/01/2022 0:00;2;1086;Empresa;112;17500;18900;3;6
157;11/01/2022 0:00;2;1155;Empresa;169;18000;19300;3;6
158;11/01/2022 0:00;2;236;Empresa;67;17700;21000;3;6
159;11/01/2022 0:00;2;727;Empresa;163;17800;20100;3;6
160;11/01/2022 0:00;2;745;Persona;131;17000;20300;1;9
161;11/01/2022 0:00;2;622;Persona;103;18000;20300;1;9
162;11/01/2022 0:00;2;883;Persona;149;17600;20900;1;9
163;11/01/2022 0:00;2;293;Persona;4;17700;20600;1;9
164;11/01/2022 0:00;2;24;Persona;83;17300;20200;4;1
165;11/01/2022 0:00;2;840;Persona;146;17100;21400;4;1
166;11/01/2022 0:00;2;489;Persona;25;17500;21200;4;1
167;11/01/2022 0:00;2;54;Persona;26;17200;19700;4;1
168;11/01/2022 0:00;4;651;Persona;83;17300;18200;3;6
169;11/01/2022 0:00;4;138;Persona;42;17600;19500;3;6
170;11/01/2022 0:00;4;997;Persona;55;17800;20300;3;6
171;11/01/2022 0:00;4;1028;Persona;25;17500;19200;3;6
172;11/01/2022 0:00;2;329;Persona;132;17200;22100;4;12
173;11/01/2022 0:00;2;759;Persona;153;17200;20900;4;12
174;11/01/2022 0:00;2;671;Persona;114;17800;20200;4;12
175;11/01/2022 0:00;2;776;Persona;69;17800;22400;4;12
176;11/01/2022 0:00;1;754;Empresa;67;17700;20800;4;7
177;11/01/2022 0:00;1;1027;Empresa;61;17600;20100;4;7
178;11/01/2022 0:00;1;369;Empresa;156;17200;21700;4;7
179;11/01/2022 0:00;1;80;Empresa;125;17300;20200;4;7
180;12/01/2022 0:00;1;547;Persona;2;16800;21600;4;5
181;12/01/2022 0:00;1;233;Persona;126;18100;23000;4;5
182;12/01/2022 0:00;1;847;Persona;86;17000;20200;4;5
183;12/01/2022 0:00;1;153;Persona;86;17000;19500;4;5
184;12/01/2022 0:00;3;178;Persona;104;17400;18300;1;4
185;12/01/2022 0:00;3;409;Persona;5;17200;21500;1;4
186;12/01/2022 0:00;3;556;Persona;126;18100;22900;1;4
187;12/01/2022 0:00;3;44;Persona;27;17400;21900;1;4
188;12/01/2022 0:00;3;856;Persona;65;17100;22100;4;2
189;12/01/2022 0:00;3;409;Persona;50;16300;20500;4;2
190;12/01/2022 0:00;3;979;Persona;2;16800;18900;4;2
191;12/01/2022 0:00;3;592;Persona;116;17700;20400;4;2
192;12/01/2022 0:00;2;912;Persona;105;18200;21700;4;2
193;12/01/2022 0:00;2;1140;Persona;163;17800;18900;4;2
194;12/01/2022 0:00;2;204;Persona;2;16800;21800;4;2
195;12/01/2022 0:00;1;273;Persona;177;16600;18100;2;8
196;12/01/2022 0:00;1;469;Persona;106;17600;20500;2;8
197;12/01/2022 0:00;1;399;Persona;88;17000;21700;2;8
198;12/01/2022 0:00;1;904;Persona;46;16700;20200;2;8
199;12/01/2022 0:00;1;318;Persona;171;16800;19500;1;4
200;12/01/2022 0:00;1;754;Persona;173;17500;19900;1;4
201;12/01/2022 0:00;1;99;Persona;33;17100;20600;1;4
202;12/01/2022 0:00;1;205;Persona;152;16600;17500;1;4
203;12/01/2022 0:00;3;331;Empresa;114;17800;19200;1;9
204;12/01/2022 0:00;3;209;Empresa;47;17300;18500;1;9
205;12/01/2022 0:00;3;252;Empresa;167;18200;22400;1;9
206;12/01/2022 0:00;3;162;Empresa;65;17100;19600;1;9
207;12/01/2022 0:00;3;771;Persona;142;17200;18700;4;7
208;13/01/2022 0:00;3;1139;Persona;168;17500;18600;4;7
209;13/01/2022 0:00;3;109;Persona;159;17400;21800;4;7
210;13/01/2022 0:00;3;35;Persona;12;17400;18400;4;7
211;13/01/2022 0:00;2;382;Persona;55;17800;22400;4;7
212;13/01/2022 0:00;2;556;Persona;120;17600;20300;4;7
213;13/01/2022 0:00;2;345;Persona;177;16600;20000;4;7
214;13/01/2022 0:00;2;135;Persona;178;17400;21100;4;7
215;14/01/2022 0:00;1;243;Persona;23;17100;18200;2;8
216;14/01/2022 0:00;1;1088;Persona;171;16800;21700;2;8
217;14/01/2022 0:00;1;389;Persona;88;17000;17800;2;8
218;14/01/2022 0:00;1;788;Persona;157;18100;20300;2;8
219;14/01/2022 0:00;1;1121;Persona;152;16600;21400;4;5
220;14/01/2022 0:00;1;631;Persona;113;18000;19300;4;5
221;14/01/2022 0:00;1;904;Persona;128;17500;20900;4;5
222;14/01/2022 0:00;1;208;Persona;72;17800;21800;4;5
223;14/01/2022 0:00;3;173;Persona;19;17000;21700;1;9
224;14/01/2022 0:00;3;91;Persona;75;17000;21700;1;9
225;14/01/2022 0:00;3;647;Persona;129;17800;22400;1;9
226;14/01/2022 0:00;3;1157;Persona;146;17100;18100;1;9
227;14/01/2022 0:00;4;720;Empresa;4;17700;21300;4;12
228;14/01/2022 0:00;4;563;Empresa;78;17200;19700;4;12
229;14/01/2022 0:00;4;910;Empresa;171;16800;18200;4;12
230;14/01/2022 0:00;4;913;Empresa;177;16600;19600;4;12
231;14/01/2022 0:00;3;131;Persona;94;17500;21000;1;4
232;14/01/2022 0:00;3;223;Persona;44;17900;20700;1;4
233;14/01/2022 0:00;3;650;Persona;74;18100;20200;1;4
234;14/01/2022 0:00;3;763;Persona;141;18800;23100;1;4
235;14/01/2022 0:00;3;1115;Persona;90;17400;18900;4;2
236;14/01/2022 0:00;3;110;Persona;89;17200;20300;4;2
237;14/01/2022 0:00;3;527;Persona;156;17200;18500;4;2
238;14/01/2022 0:00;3;573;Empresa;122;17000;18500;4;2
239;14/01/2022 0:00;3;1068;Empresa;97;17500;19400;4;2
240;14/01/2022 0:00;3;343;Empresa;2;16800;21800;4;2
241;14/01/2022 0:00;3;88;Empresa;116;17700;20500;4;2
242;14/01/2022 0:00;1;58;Persona;29;17700;22700;2;8
243;14/01/2022 0:00;1;259;Persona;156;17200;18500;2;8
244;14/01/2022 0:00;1;600;Persona;81;17400;20000;2;8
245;14/01/2022 0:00;1;900;Persona;74;18100;21800;2;8
246;14/01/2022 0:00;1;367;Persona;83;17300;20100;4;7
247;14/01/2022 0:00;1;640;Persona;49;17300;21600;4;7
248;14/01/2022 0:00;1;865;Persona;36;17600;19200;4;7
249;14/01/2022 0:00;1;882;Persona;16;17800;20900;4;7
250;15/01/2022 0:00;3;242;Persona;14;16800;18400;4;10
251;15/01/2022 0:00;3;1047;Persona;9;17100;19900;4;10
252;15/01/2022 0:00;3;813;Persona;3;17000;18200;4;10
253;15/01/2022 0:00;3;392;Persona;13;17300;21900;4;10
254;15/01/2022 0:00;3;661;Persona;161;16600;21300;1;9
255;15/01/2022 0:00;3;693;Persona;46;16700;18900;1;9
256;15/01/2022 0:00;3;620;Persona;91;18300;20000;1;9
257;15/01/2022 0:00;3;974;Persona;88;17000;20000;1;9
258;15/01/2022 0:00;3;828;Persona;175;17800;21000;2;11
259;15/01/2022 0:00;3;328;Persona;41;17600;18900;2;11
260;15/01/2022 0:00;3;646;Persona;85;17600;20100;2;11
261;15/01/2022 0:00;3;11;Persona;148;17000;20100;2;11
262;15/01/2022 0:00;4;829;Persona;53;16800;20700;2;8
263;15/01/2022 0:00;4;438;Persona;164;16800;20800;2;8
264;15/01/2022 0:00;4;495;Persona;49;17300;20900;2;8
265;15/01/2022 0:00;4;510;Persona;143;17700;22800;2;8
266;15/01/2022 0:00;4;799;Persona;21;18000;20800;4;7
267;15/01/2022 0:00;4;512;Persona;73;17100;21400;4;7
268;15/01/2022 0:00;4;147;Persona;93;16800;20500;4;7
269;15/01/2022 0:00;4;273;Persona;125;17300;20800;4;7
270;15/01/2022 0:00;3;1118;Persona;54;17800;20100;4;3
271;15/01/2022 0:00;3;41;Persona;72;17800;21100;4;3
272;15/01/2022 0:00;3;454;Persona;63;17400;20300;4;3
273;15/01/2022 0:00;3;355;Persona;88;17000;19600;4;3
274;16/01/2022 0:00;3;492;Persona;25;17500;18900;4;10
275;16/01/2022 0:00;3;928;Persona;48;17100;18500;4;10
276;16/01/2022 0:00;3;401;Persona;112;17500;20300;4;10
277;16/01/2022 0:00;3;200;Persona;112;17500;19300;4;10
278;16/01/2022 0:00;2;1016;Persona;75;17000;19700;4;7
279;16/01/2022 0:00;2;459;Persona;30;17400;21400;4;7
280;16/01/2022 0:00;2;930;Persona;175;17800;20500;4;7
281;16/01/2022 0:00;2;1123;Persona;79;17700;18800;4;7
282;16/01/2022 0:00;2;518;Persona;154;17300;22100;1;9
283;16/01/2022 0:00;2;950;Persona;112;17500;21800;1;9
284;16/01/2022 0:00;2;432;Persona;45;17500;21200;1;9
285;16/01/2022 0:00;2;591;Persona;101;17500;22700;1;9
286;16/01/2022 0:00;2;1027;Persona;20;17600;21700;4;7
287;16/01/2022 0:00;2;82;Persona;14;16800;19500;4;7
288;16/01/2022 0:00;2;88;Persona;145;17400;21500;4;7
289;16/01/2022 0:00;2;494;Persona;74;18100;21700;4;7
290;16/01/2022 0:00;1;607;Persona;131;17000;20100;4;1
291;16/01/2022 0:00;1;432;Persona;113;18000;20700;4;1
292;16/01/2022 0:00;1;17;Persona;147;17300;22300;4;1
293;16/01/2022 0:00;1;494;Persona;76;17700;22900;4;1
294;17/01/2022 0:00;4;1004;Persona;82;17700;21000;1;4
295;17/01/2022 0:00;4;694;Persona;26;17200;19100;1;4
296;17/01/2022 0:00;4;116;Persona;125;17300;21700;1;4
297;17/01/2022 0:00;4;504;Persona;54;17800;19100;1;4
298;17/01/2022 0:00;4;443;Persona;105;18200;23300;1;4
299;17/01/2022 0:00;4;834;Persona;127;17900;22300;1;4
300;17/01/2022 0:00;4;1108;Persona;83;17300;20900;1;4
301;17/01/2022 0:00;2;718;Persona;131;17000;20200;4;5
302;17/01/2022 0:00;2;959;Persona;20;17600;19500;4;5
303;17/01/2022 0:00;2;346;Persona;14;16800;19100;4;5
304;17/01/2022 0:00;2;689;Persona;64;17200;21500;4;5
305;17/01/2022 0:00;2;1109;Persona;54;17800;21200;4;2
306;17/01/2022 0:00;2;305;Persona;40;17000;17800;4;2
307;17/01/2022 0:00;2;487;Persona;169;18000;20300;4;2
308;17/01/2022 0:00;3;224;Persona;35;18000;19100;1;4
309;17/01/2022 0:00;3;497;Persona;6;17100;18700;1;4
310;18/01/2022 0:00;3;468;Persona;20;17600;21400;1;4
311;18/01/2022 0:00;3;146;Persona;48;17100;21700;1;4
312;18/01/2022 0:00;3;1071;Persona;101;17500;21200;3;6
313;18/01/2022 0:00;3;1037;Persona;84;18500;20700;3;6
314;18/01/2022 0:00;3;818;Persona;179;17500;22200;3;6
315;18/01/2022 0:00;3;325;Persona;85;17600;20600;3;6
316;18/01/2022 0:00;3;507;Persona;59;18100;22600;4;10
317;18/01/2022 0:00;3;57;Persona;39;17200;21700;4;10
318;18/01/2022 0:00;3;677;Persona;168;17500;20000;4;10
319;18/01/2022 0:00;3;235;Persona;146;17100;21100;4;10
320;18/01/2022 0:00;2;1071;Empresa;149;17600;18800;1;9
321;18/01/2022 0:00;2;807;Empresa;145;17400;19200;1;9
322;18/01/2022 0:00;2;803;Empresa;142;17200;21400;1;9
323;18/01/2022 0:00;2;1128;Empresa;23;17100;19100;1;9
324;18/01/2022 0:00;4;106;Persona;59;18100;20400;4;2
325;18/01/2022 0:00;4;534;Persona;60;17300;19100;4;2
326;19/01/2022 0:00;4;110;Persona;17;18100;23400;4;2
327;19/01/2022 0:00;4;883;Persona;155;18000;22600;4;2
328;19/01/2022 0:00;1;1176;Persona;35;18000;23000;4;3
329;19/01/2022 0:00;1;1139;Persona;174;17400;18700;4;3
330;19/01/2022 0:00;1;539;Persona;81;17400;21400;4;3
331;19/01/2022 0:00;1;918;Persona;61;17600;20900;4;3
332;19/01/2022 0:00;4;1070;Persona;99;17500;19000;4;3
333;19/01/2022 0:00;4;415;Persona;79;17700;18600;4;3
334;19/01/2022 0:00;4;622;Persona;64;17200;19000;4;3
335;19/01/2022 0:00;4;912;Persona;176;17600;20600;4;3
336;19/01/2022 0:00;4;89;Persona;62;17100;18900;4;3
337;19/01/2022 0:00;4;148;Persona;101;17500;22000;4;3
338;19/01/2022 0:00;4;482;Persona;18;17500;19800;4;3
339;19/01/2022 0:00;3;458;Empresa;159;17400;18600;4;12
340;19/01/2022 0:00;3;265;Empresa;23;17100;18800;4;12
341;19/01/2022 0:00;3;541;Empresa;99;17500;21000;4;12
342;19/01/2022 0:00;3;639;Empresa;160;16800;20800;4;12
343;19/01/2022 0:00;3;839;Persona;79;17700;19300;4;10
344;19/01/2022 0:00;3;112;Persona;127;17900;21800;4;10
345;19/01/2022 0:00;3;954;Persona;106;17600;20400;4;10
346;19/01/2022 0:00;3;796;Persona;106;17600;21700;4;10
347;19/01/2022 0:00;3;654;Persona;50;16300;17500;4;10
348;19/01/2022 0:00;3;285;Persona;20;17600;19100;4;10
349;19/01/2022 0:00;3;1073;Persona;117;16800;19200;4;10
350;20/01/2022 0:00;4;549;Persona;58;17600;21600;4;2
351;20/01/2022 0:00;4;159;Persona;88;17000;21500;4;2
352;20/01/2022 0:00;4;52;Persona;42;17600;21400;4;2
353;20/01/2022 0:00;4;488;Persona;145;17400;21900;4;2
354;20/01/2022 0:00;4;708;Persona;176;17600;19000;4;7
355;20/01/2022 0:00;4;383;Persona;57;17700;21800;4;7
356;20/01/2022 0:00;4;38;Persona;179;17500;20700;4;7
357;20/01/2022 0:00;4;64;Persona;131;17000;20200;4;7
358;20/01/2022 0:00;4;267;Persona;83;17300;21400;2;11
359;20/01/2022 0:00;4;351;Persona;173;17500;20600;2;11
360;20/01/2022 0:00;4;803;Persona;57;17700;21500;2;11
361;20/01/2022 0:00;4;729;Persona;112;17500;19100;2;11
362;20/01/2022 0:00;3;711;Persona;124;17500;21300;2;8
363;20/01/2022 0:00;3;1147;Persona;26;17200;18500;2;8
364;20/01/2022 0:00;3;808;Persona;2;16800;19500;2;8
365;20/01/2022 0:00;3;319;Persona;66;18400;23000;2;8
366;20/01/2022 0:00;4;191;Persona;51;17500;20700;1;4
367;20/01/2022 0:00;4;816;Persona;105;18200;19700;1;4
368;20/01/2022 0:00;4;296;Persona;9;17100;19300;1;4
369;20/01/2022 0:00;4;855;Persona;113;18000;21800;1;4
370;20/01/2022 0:00;3;955;Persona;55;17800;21100;4;2
371;20/01/2022 0:00;3;239;Persona;53;16800;18700;4;2
372;20/01/2022 0:00;3;433;Persona;150;17600;20600;4;2
373;20/01/2022 0:00;1;385;Empresa;56;17400;21500;1;9
374;20/01/2022 0:00;1;623;Empresa;14;16800;18900;1;9
375;20/01/2022 0:00;1;1078;Empresa;75;17000;20900;1;9
376;20/01/2022 0:00;1;845;Empresa;174;17400;18300;1;9
377;20/01/2022 0:00;4;419;Persona;26;17200;18800;4;10
378;20/01/2022 0:00;4;47;Persona;176;17600;18900;4;10
379;20/01/2022 0:00;4;1121;Persona;159;17400;21700;4;10
380;20/01/2022 0:00;4;1013;Persona;147;17300;19900;4;10
381;20/01/2022 0:00;3;329;Persona;42;17600;18500;1;4
382;20/01/2022 0:00;3;1126;Persona;176;17600;21700;1;4
383;20/01/2022 0:00;3;1038;Persona;150;17600;21900;1;4
384;20/01/2022 0:00;3;184;Persona;135;17800;20000;1;4
385;21/01/2022 0:00;3;755;Persona;126;18100;23200;4;1
386;21/01/2022 0:00;3;730;Persona;106;17600;20500;4;1
387;21/01/2022 0:00;3;432;Persona;38;18100;20500;4;1
388;21/01/2022 0:00;4;658;Persona;31;16500;21400;4;7
389;21/01/2022 0:00;4;1151;Persona;122;17000;18000;4;7
390;21/01/2022 0:00;4;567;Persona;99;17500;20600;4;7
391;21/01/2022 0:00;4;516;Persona;48;17100;18700;4;7
392;21/01/2022 0:00;4;477;Persona;3;17000;22000;1;9
393;21/01/2022 0:00;4;253;Persona;94;17500;20700;1;9
394;21/01/2022 0:00;4;675;Persona;117;16800;18900;1;9
395;21/01/2022 0:00;4;282;Persona;13;17300;20700;1;9
396;21/01/2022 0:00;2;498;Persona;106;17600;21000;1;9
397;21/01/2022 0:00;2;775;Persona;96;17200;18500;1;9
398;21/01/2022 0:00;2;365;Persona;178;17400;19200;1;9
399;21/01/2022 0:00;2;361;Persona;50;16300;19700;1;9
400;21/01/2022 0:00;2;273;Persona;173;17500;22400;2;11
401;21/01/2022 0:00;2;800;Persona;84;18500;20300;2;11
402;21/01/2022 0:00;2;807;Persona;68;17300;18200;2;11
403;21/01/2022 0:00;2;659;Persona;138;17400;18300;2;11
404;21/01/2022 0:00;1;878;Persona;70;17300;20800;4;10
405;21/01/2022 0:00;1;553;Persona;64;17200;20000;4;10
406;21/01/2022 0:00;1;379;Persona;6;17100;18100;4;10
407;21/01/2022 0:00;1;112;Persona;151;17200;19400;4;10
408;21/01/2022 0:00;4;237;Persona;92;17500;19300;1;4
409;21/01/2022 0:00;4;967;Persona;3;17000;21500;1;4
410;21/01/2022 0:00;4;988;Persona;95;17700;18600;1;4
411;22/01/2022 0:00;4;1104;Persona;174;17400;21400;4;12
412;22/01/2022 0:00;4;17;Persona;32;17800;22100;4;12
413;22/01/2022 0:00;4;991;Persona;59;18100;19600;4;12
414;22/01/2022 0:00;4;251;Persona;116;17700;22200;4;12
415;22/01/2022 0:00;2;804;Persona;48;17100;20500;4;3
416;22/01/2022 0:00;2;934;Persona;76;17700;18600;4;3
